car_name,car_price_in_rupees,kms_driven,fuel_type,city,year_of_manufacture,price_numeric,kms_numeric
Maruti Suzuki Vitara Brezza ZDi+ Dual Tone [2017-2018],₹ 8.21 Lakh,"59,706 km",Diesel,Mumbai,2016,821000,59706
BMW X1 sDrive20d,₹ 8 Lakh,"75,000 km",Diesel,Ahmedabad,2011,800000,75000
Hyundai Elite i20 Magna Plus 1.4 CRDi,₹ 5.94 Lakh,"58,262 km",Diesel,Delhi,2018,594000,58262
Kia Sonet HTK Plus 1.5 AT,₹ 15.5 Lakh,"9,914 km",Diesel,Thane,2021,1550000,9914
Hyundai Grand i10 Asta 1.2 Kappa VTVT (O) [2013-2017],₹ 4.96 Lakh,"81,298 km",Petrol,Pune,2015,496000,81298
BMW X1 sDrive20d xLine,₹ 37.85 Lakh,"29,221 km",Diesel,Bangalore,2019,3785000,29221
Hyundai Creta E Plus 1.6 Petrol,₹ 8.29 Lakh,"34,766 km",Petrol,Mumbai,2017,829000,34766
Maruti Suzuki Wagon R 1.0 VXI,₹ 3.41 Lakh,"20,138 km",Petrol,Hyderabad,2014,341000,20138
Honda WR-V VX MT Petrol,₹ 6.49 Lakh,"47,000 km",Petrol,Kolkata,2017,649000,47000
Hyundai Grand i10 Sportz 1.2 Kappa VTVT Dual Tone,₹ 6.59 Lakh,"27,113 km",Petrol,Bangalore,2019,659000,27113
Maruti Suzuki Wagon R ZXI 1.2 AGS,₹ 6.99 Lakh,"7,506 km",Petrol,Bangalore,2020,699000,7506
Toyota Innova Crysta 2.8 GX AT 8 STR [2016-2020],₹ 18.9 Lakh,"48,969 km",Diesel,Thane,2018,1890000,48969
Honda Amaze 1.2 S MT Petrol [2018-2020],₹ 5.85 Lakh,"77,200 km",Petrol,Thane,2018,585000,77200
Hyundai Grand i10 Asta 1.2 Kappa VTVT (O) [2013-2017],₹ 5.41 Lakh,"34,258 km",Petrol,Mumbai,2016,541000,34258
Hyundai Elite i20 Asta 1.2,₹ 4.46 Lakh,"54,136 km",Petrol,Kolkata,2015,446000,54136
Hyundai Elite i20 Magna Executive 1.2,₹ 6.75 Lakh,"28,000 km",Petrol,Ahmedabad,2017,675000,28000
